key	text	tooltip
message_event_text_text_mk_event_hre_fealty_increase_secondary_boosted	The loyalty of this faction to the emperor has been increased thanks to boons granted by the emperor.	true
message_event_text_text_mk_event_hre_fealty_increase_secondary_supported_candidate	The loyalty of this faction to the emperor has been increased as a result of backing their chosen candidate for the election.	true
message_event_text_text_mk_event_hre_fealty_increase_title	Fealty Increased	true
message_event_text_text_mk_event_hre_imperial_succession_secondary	A new Holy Roman Emperor from another faction has taken the throne following the death of the previous sovereign, thus disempowering the former ruler's faction.	true
message_event_text_text_mk_event_hre_imperial_succession_title	Imperial Succession	true
message_event_text_text_mk_event_hre_imperial_title_retained_secondary	A new Holy Roman Emperor has taken the throne following the death of the previous sovereign, though they are of the same faction. The reigning faction's rule is safe, for now...	true
message_event_text_text_mk_event_hre_imperial_title_retained_title	Imperial Succession	true
message_event_text_text_mk_event_hre_pretender_nominated_secondary	The Pope has nominated a pretender to the Imperial Throne, thus challenging the right of the current emperor to rule the Holy Roman Empire.	true
message_event_text_text_mk_event_hre_pretender_nominated_title	A Pretender to the Throne	true
message_event_text_text_mk_event_hre_reform_primary_1	Confirm Permanent Prince-Electors	true
message_event_text_text_mk_event_hre_reform_primary_2	Formalize the Imperial Diet	true
message_event_text_text_mk_event_hre_reform_primary_3	Institute the Common Penny	true
message_event_text_text_mk_event_hre_reform_primary_4	Organize the Imperial Circles	true
message_event_text_text_mk_event_hre_reform_primary_5	Enact Perpetual Public Peace	true
message_event_text_text_mk_event_hre_reform_primary_6	Establish the Imperial Chamber Court	true
message_event_text_text_mk_event_hre_reform_primary_7	Establish the Imperial Government	true
message_event_text_text_mk_event_hre_reform_primary_8	Adopt Hereditary Succession	true
message_event_text_text_mk_event_hre_reform_primary_9	Renovatio Imperii	true
message_event_text_text_mk_event_hre_reform_secondary	The emperor attained enough support to pass an imperial reform, thus increasing the centralization of the realm.	true
message_event_text_text_mk_event_hre_reform_title	Imperial Reform	true
message_event_text_text_mk_event_hre_region_lost_secondary_emperor	A region rightfully belonging to the Holy Roman Empire has been lost, decreasing your authority.	true
message_event_text_text_mk_event_hre_region_lost_secondary_member	A region rightfully belonging to the Holy Roman Empire has been lost, decreasing the emperor's authority.	true
message_event_text_text_mk_event_hre_region_lost_title	Imperial Territory Lost	true
message_event_text_text_mk_event_hre_region_reconquered_secondary_emperor	A region rightfully belonging to the Holy Roman Empire has been reconquered, increasing your authority.	true
message_event_text_text_mk_event_hre_region_reconquered_secondary_member	A region rightfully belonging to the Holy Roman Empire has been reconquered, increasing the emperor's authority.	true
message_event_text_text_mk_event_hre_region_reconquered_title	Imperial Territory Reconquered	true
message_event_text_text_mk_event_hre_sicilian_invasion_primary	A Pretender to the Throne	true
message_event_text_text_mk_event_hre_sicilian_invasion_secondary	A mere boy, though one backed by the Pope, now contests the imperial throne after being elected by discontent members of the Empire.	true
message_event_text_text_mk_event_hre_sicilian_invasion_title	Wrath of the Innocent	true
message_event_text_text_mk_event_hre_unlawful_territory_secondary	Your occupation of this region has been declared unlawful by the Holy Roman Emperor. As a consequence, many of your subjects in the region are now discontent.	true
message_event_text_text_mk_event_hre_unlawful_territory_title	Unlawful Territory	false
message_event_text_text_mk_event_ilkhanate_formed_primary	The Ilkhanate	true
message_event_text_text_mk_event_ilkhanate_formed_secondary	The lands of these old civilizations now belong to us. Having subjugated the mighty kingdoms and empires of Persia, it has become necessary to incorporate their great wisdom and administration. Indeed, this includes their name for our empire: the Ilkhanate, which we shall henceforth adopt.	true
message_event_text_text_mk_event_ilkhanate_formed_title	Founding of the Ilkhanate	true
message_event_text_text_mk_event_Italian_kingdom_formed_primary	The Kingdom of Italy	true
message_event_text_text_mk_event_Italian_kingdom_formed_secondary	It has been many centuries since Italy was last united, but now the Kingdom of Italy rises, having secured dominion over the Apennine Peninsula.	true
message_event_text_text_mk_event_Italian_kingdom_formed_title	Founding of a Kingdom	true
message_event_text_text_mk_event_little_ice_age_primary	The Little Ice Age	true
message_event_text_text_mk_event_little_ice_age_secondary	The constant rainfall has finally stopped, but it is now apparrent to many that the winters have grown somewhat harsher and the crop growing seasons less reliable.	true
message_event_text_text_mk_event_little_ice_age_title	Climate Change	true
message_event_text_text_mk_event_mk1212_intro_primary	Mod Credits	true
message_event_text_text_mk_event_mk1212_intro_secondary	Team Members:\\n\\nWarman222 - Mod Lead/Unit Design\\nYou_Guess_Who - Database Manager/Ship Design/Unit Design\\nLtd. - Unit Design/Modelling/Rigging\\nFinix - 2D Art\\nJan_Boruta - 2D Art/Historical Research\\nSlytacular - Unit Design/Settlement Design/Modelling\\ndontfearme22 - Unit Design/Modelling\\nzsimmortal - Campaign Design/Unit Design/Modelling\\nHessam - Unit Design/Modelling\\nLucem Mundum - Unit Design\\nThe Fawn Rescuer - Unit Design\\nAzrien Fox - Unit Design\\nbanskie100 - Unit Design/Modelling\\nBaron279 - Unit Design\\nAlexios - Unit Design\\nThe_Culverin - Unit Design\\nGearhawk - Settlement Design\\nFuzFuzFuz - Campaign Design/Unit Design/Minor 2D Art\\nDETrooper - Scripting/Campaign Design/Music Modding\\nFjodor - Unit Design\\nGhost - Unit Design/Ship Design/Building Design\\nKalpok - Unit Design\\nKublaioi - Loading Screens\\nPapy11 - Unit Design/Modelling\\nTycherious - Scripting\\nSaid al - Unit Design\\nSerdarlal - Modelling\\n\\nExternal Asset Credits:\\n\\nPino69\\nLucas the Benevolent\\nMr. Crow\\nNarf\\nDejawolf\\nPacco\\nAl Mansur\\nRus 13th Century\\nPaleogios\\nThick1988\\nRusichi Total War\\nMarka\\nFantasyWarrior\\nLord Szentgyörgyi\\ndome\\nRathos\\nWe's\\nMr.Master\\nYamabusi\\nGrudgeNL\\nCrusaders Way to Expiation Team\\nThe Byzantine\\nLord Hamilton\\nPercus\\nKnights of the Garter\\nSacred Stone Head\\nMandible\\nLife Erickson\\nNarf of Picklestink\\nSonyer\\n\\nSpecial Thanks:\\n\\nCauseless - Script Advice/Music Modding Tools\\nMr. Jox - C++ Help/Settlement Help\\nDrunk Flamingo - Script Advice\\nMarthenil - Script Advice\\nHardballer - UI Editing Advice\\nOle - Asset Editor\\nPhazer - Rigid Model Editor\\nsimivs - Animation Help\\nOcramium - Byzantine Intro Video\\nCreative Assembly for making an awesome game!\\nAnd all of our testers on Discord!	true
message_event_text_text_mk_event_mk1212_intro_title	Medieval Kingdoms: Total War - 1212 AD	true
message_event_text_text_mk_event_mk1212_popeintro_primary	The Pope	true
message_event_text_text_mk_event_mk1212_popeintro_secondary	As a Catholic faction, you must play a precarious game of managing the opinion of the clergy. At the helm of the clergy lies the Pope, supreme ruler of the Catholic church. Appeasing the Pope may be in your best interest, as displeasing him can have dire consequences.	true
message_event_text_text_mk_event_mk1212_popeintro_title	Medieval Kingdoms: Total War - 1212 AD	true
message_event_text_text_mk_event_mk1212_wwintro_primary	War Weariness	true
message_event_text_text_mk_event_mk1212_wwintro_secondary	The sign of a great leader is in knowing how far your people can be pushed. Wars are significant, dramatic events that should not be undertaken lightly.	true
message_event_text_text_mk_event_mk1212_wwintro_title	Medieval Kingdoms: Total War - 1212 AD	true
message_event_text_text_mk_event_mongol_invasion_primary	The Mongol Empire	true
message_event_text_text_mk_event_mongol_invasion_secondary	Word has arrived of a great power arising in the East, one that is determined to conquer or destroy all in its warpath. The Mongol armies are a terrifying force to behold, consisting of large amounts of light cavalry that provide their armies with extraordinary mobility. The Mongols also employ weapons in their armies that are yet unheard of in Europe and the Near East. To those opposing them, only one thing is clear: surrender or be destroyed.	true
message_event_text_text_mk_event_mongol_invasion_title	Mongol Invasion!	true
message_event_text_text_mk_event_mongol_invasion_upkeep_primary	An Army's Free Upkeep is Ending	true
message_event_text_text_mk_event_mongol_invasion_upkeep_secondary	The Great Khan will soon end support for your armies, as he expects they will be able to pay for themselves through revenues from conquered territories. It will then be up to you to maintain this force.	true
message_event_text_text_mk_event_mongol_invasion_upkeep_title	End of Free Upkeep	true
message_event_text_text_mk_event_polish_kingdom_formed_primary	The Kingdom of Poland	true
message_event_text_text_mk_event_polish_kingdom_formed_secondary	Fragmented no longer, Polish supremacy has now been established over the former lands of the kingdom. Now, a true kingdom of the Poles arises, ready to stave off any foreign invader and expand its borders beyond that of even the greatest Piast kings of old.	true
message_event_text_text_mk_event_polish_kingdom_formed_title	Founding of a Kingdom	true
message_event_text_text_mk_event_pope_enemy_of_christendom_primary	The Wrath of Europe	true
message_event_text_text_mk_event_pope_enemy_of_christendom_secondary	Incredibly dire news – your declaration of war against the Papal States has caused the Pope to rally the support of good Christians everywhere against you. They are rising up together in condemnation of your actions, and soon may turn to war to take back Rome.	true
message_event_text_text_mk_event_pope_enemy_of_christendom_title	Christendom’s Outcry	true
message_event_text_text_mk_event_pope_excommunication_lifted_other_secondary	This faction has been unexcommunicated by the Pope for its sins, and welcomed back to the Church with open arms.	true
message_event_text_text_mk_event_pope_excommunication_lifted_other_title	Faction Unexcommunicated	true
message_event_text_text_mk_event_pope_excommunication_lifted_primary	Your excommunication has been lifted!	true
message_event_text_text_mk_event_pope_excommunication_lifted_secondary	Your faction has been welcomed back into the Catholic chruch with open arms, and all penalties related to your prior excommunication have been erased.	true
message_event_text_text_mk_event_pope_excommunication_lifted_title	Excommunication lifted!	true
message_event_text_text_mk_event_pope_excommunication_other_secondary	This faction has been excommunicated by the Pope for its sins, whether it be crimes against the faith or defying the Pope's will.	true
message_event_text_text_mk_event_pope_excommunication_other_title	Faction Excommunicated	true
message_event_text_text_mk_event_pope_excommunication_primary	You have been excommunicated!	true
message_event_text_text_mk_event_pope_excommunication_secondary	Incredibly dire news – You have been excommunicated by the Pope! Although your faction leader may continue to rule, he is now at odds with the Catholic Church. Being excommunicated severely damages your relations with other Catholic factions whilst your current faction leader remains in power. Other Catholic troops will fight with increased vigour against your own and all pious Catholics among your people will likely soon make their displeasure very well known!	true
message_event_text_text_mk_event_pope_excommunication_title	Excommunication!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_abstained_crusade	Abstained From The Crusade!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_borrowed_money	Asked for Money!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_declared_war	Declared War!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_failed_to_join_albigensian_crusade	Refused to Join the Albigensian Crusade!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_joined_toulouse	Opposing the Albigensian Crusade!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_mission_fail_generic	Mission Failed!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_mission_fail_peace	Mission Failed!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_mission_fail_take_jerusalem_dilemma	Mission Failed!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_refused_but_gave_target	Minor Concessions	true
message_event_text_text_mk_event_pope_favour_decrease_primary_refused_demands	Refused Demands	true
message_event_text_text_mk_event_pope_favour_decrease_primary_refused_pretender	Refused the Nomination!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_sacked_settlement	Settlement Sacked!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_slaughtered_captives	Slaughtered Captives!	true
message_event_text_text_mk_event_pope_favour_decrease_primary_supported_toulouse	Supported Toulouse!	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_abstained_crusade	The lack of zealousness you've displayed by refusing to crusade in the name of the Lord has greatly upset His Holiness. Your Papal Favour has considerably decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_borrowed_money	His Holiness has granted your request for financial assistance, though by asking for such a sum of money, your relationship with the Pope has been strained. Your Papal Favour has considerably decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_declared_war	You have disappointed the Pope by declaring war against a fellow Catholic. As a result, your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_failed_to_join_albigensian_crusade	You have disappointed His Holiness by staying out of the Albigensian Crusade. Your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_joined_toulouse	His Holiness denounces you, for you have gone against His will by opposing the Albigensian Crusade. Your Papal Favour has considerably decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_mission_fail_generic	You have displeased His Holiness by failing to complete His task. As a result, your Papal Favour has lowered.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_mission_fail_peace	You have severely angered His Holiness by failing to make peace with your Christian brethren, resulting in a large loss of Papal Favour.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_mission_fail_take_jerusalem_dilemma	You have failed to live up to the promises made to His Holiness after the last crusade, angering him greatly. Your Papal Favour has decreased by an extremely large amount.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_refused_but_gave_target	You have slighted the Pope by only giving up the target city of the Crusade. Your Papal Favour has decreased considerably, but you retain all other lands conquered during the crusade.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_refused_demands	You have refused the Pope's demands, angering him greatly. Your Papal Favour has decreased by an extremely large amount.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_refused_pretender	You have refused the Pope's nomination for emperorship of the Holy Roman Empire, thus avoiding entangling yourself in a war with the current emperor but also angering the Pope. Your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_sacked_settlement	You have sacked a defenseless Christian settlement after it had yielded to your armies, and the Pope is greatly disappointed. Your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_slaughtered_captives	Even if they were deserving, your mass slaughter of defenseless Christian captives has disappointed the Pope. Your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_supported_toulouse	You have displeased His Holiness by supporting the County of Toulouse with arms and men. Your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_decrease_title	Papal Favour Decrease	true
message_event_text_text_mk_event_pope_favour_increase_primary_crusade_victory	Victorious Crusade!	true
message_event_text_text_mk_event_pope_favour_increase_primary_joined_albigensian_crusade	Joined the Albigensian Crusade!	true
message_event_text_text_mk_event_pope_favour_increase_primary_joined_crusade	Joined the Crusade!	true
message_event_text_text_mk_event_pope_favour_increase_primary_mission_succeed_generic	Mission Succeeded!	true
message_event_text_text_mk_event_pope_favour_increase_primary_mission_succeed_peace	Mission Succeeded!	true
message_event_text_text_mk_event_pope_favour_increase_primary_released_captives	Released Captives!	true
message_event_text_text_mk_event_pope_favour_increase_secondary_crusade_victory	You have greatly pleased His Holiness by fulfilling your crusading vows. Your Papal Favour has increased to its maximum amount.	true
message_event_text_text_mk_event_pope_favour_increase_secondary_joined_albigensian_crusade	You have pleased His Holiness by joining the Albigensian Crusade. Your Papal Favour has increased.	true
message_event_text_text_mk_event_pope_favour_increase_secondary_joined_crusade	The zealousness you've displayed by your willingness to crusade in the name of the Lord has greatly pleased His Holiness. Your Papal Favour has considerably increased.	true
message_event_text_text_mk_event_pope_favour_increase_secondary_mission_succeed_generic	You have pleased His Holiness by completing His task. Your Papal Favour has increased.	true
message_event_text_text_mk_event_pope_favour_increase_secondary_mission_succeed_peace	You have pleased His Holiness by putting aside your differences with your Christian brothers and making peace. Your Papal Favour has increased.	true
message_event_text_text_mk_event_pope_favour_increase_secondary_released_captives	By showing clemency to the captives from your last battle, you have pleased His Holiness. Your Papal Favour has increased.	true
message_event_text_text_mk_event_pope_favour_increase_title	Papal Favour Increase	true
message_event_text_text_mk_event_pope_new_pope_primary_detail	New Pope Elected	true
message_event_text_text_mk_event_pope_new_pope_primary_detail_coelestinus_4	Pope Coelestinus IV	true
message_event_text_text_mk_event_pope_new_pope_primary_detail_gregorius_9	Pope Gregorius IX	true
message_event_text_text_mk_event_pope_new_pope_primary_detail_honorious_3	Pope Honorius III	true
message_event_text_text_mk_event_pope_new_pope_primary_detail_innocentius_3	Pope Innocentius III	true
message_event_text_text_mk_event_pope_new_pope_primary_detail_innocentius_4	Pope Innocentius IV	true
message_event_text_text_mk_event_pope_new_pope_secondary_detail	His holiness, the Pope has been gathered up to God, ending a fruitful chapter in Church history. A new Pope has been elected without delay; this man has a chance to guide all Christendom, few are more important or hold more sway than he does. All good Christian leaders should support the new Pope if called upon to do so, it can only be for the good of their kingdoms – but be aware, by the same token, that crossing him could have dire consequences.	true
message_event_text_text_mk_event_pope_new_pope_title	New Pope Elected	true
message_event_text_text_mk_event_pope_papacy_restored_primary	Papal States Re-established	true
message_event_text_text_mk_event_pope_papacy_restored_secondary	It is a glorious day for Catholicism, the Papal States have been re-established in Italy, and the Pope once more holds sway over the Catholic rulers of Europe.	true
message_event_text_text_mk_event_pope_papacy_restored_title	The Papacy Restored!	true
message_event_text_text_mk_event_pope_rome_attacked_nonchrist_primary	Eternal No More	true
message_event_text_text_mk_event_pope_rome_attacked_nonchrist_secondary	This is a day to be remembered! Rome has been conquered; the seat of the Papacy has once again suffered the blight of war. Unsurprisingly, Christians across the lands are greatly upset at this turn of events. Your people, however, always knew that the fall of this false God and His followers was inevitable.	true
message_event_text_text_mk_event_pope_rome_attacked_nonchrist_title	The Fall of Rome	true
message_event_text_text_mk_event_sic_lost_claim_primary	A Lost Claim	true
message_event_text_text_mk_event_sic_lost_claim_secondary	Having delayed far too long in taking decisive action, many nobles of the Holy Roman Empire have since thrown in their support behind the reigning emperor. So too has the Pope abandoned you in favor of the stronger power in Italy. Your chance at taking the imperial crown has been lost...	true
message_event_text_text_mk_event_sic_lost_claim_secondary_death	The death of your king marks the end of any short-term ambitions of emperorship, as your faction's claim to the Holy Roman Empire has now been lost.	true
message_event_text_text_mk_event_sic_lost_claim_title	Wrath of the Innocent	true
message_event_text_text_mk_event_sic_no_war_hre_primary	King of the Sicilians	true
message_event_text_text_mk_event_sic_no_war_hre_secondary	Having decided that the Kingdom of Sicily is worth far more than a risky war against the Holy Roman Empire, no war will break out and your claim to the imperial throne will be abandoned.	true
message_event_text_text_mk_event_sic_no_war_hre_title	Wrath of the Innocent	true
message_event_text_text_mk_event_spa_reconquista_success_primary	Reconquista Complete	true
message_event_text_text_mk_event_spa_reconquista_success_secondary	The Reconquista has finally been completed, ushering a new age of Catholic Christian domination of the Spanish peninsula. Many non-Christians within the realm are now under pressure to convert or to leave the peninsula, adversely affecting the realm's stability.	true
message_event_text_text_mk_event_spa_reconquista_title	The Reconquista	true
message_event_text_text_mk_event_spanish_kingdom_formed_primary	The Kingdom of Spain	true
message_event_text_text_mk_event_spanish_kingdom_formed_secondary_mk_fact_aragon	The Crown of Aragon is no more; Spain is now unified under one crown and the Kingdom of Spain has been formed.	true
message_event_text_text_mk_event_spanish_kingdom_formed_secondary_mk_fact_castile	The Kingdom of Castile is no more; Spain is now unified under one crown and the Kingdom of Spain has been formed.	true
message_event_text_text_mk_event_spanish_kingdom_formed_secondary_mk_fact_navarre	The Kingdom of Navarre is no more; Spain is now unified under one crown and the Kingdom of Spain has been formed.	true
message_event_text_text_mk_event_spanish_kingdom_formed_title	Founding of a Kingdom	true
message_event_text_text_mk_event_timurd_invasion_primary	The Timurid Empire	true
message_event_text_text_mk_event_timurid_invasion_secondary	A century and a half ago, the Mongols first descended from the eastern steppes to wreak havoc upon the world. The destruction that the Mongols wrought is legendary, but the states that were built upon the ashes are threatened by a new foe. A great warlord has united the Chagatai forces and crossed the Oxus. Now he seeks to make war upon the descendants of Genghis Khan and unite the Mongol empire once more, and those who stand in the way of his relentless warpath are likely to face the same fate as those who opposed the Great Khan years ago.	true
message_event_text_text_mk_event_timurid_invasion_title	Timurid Invasion!	true
message_event_text_text_mk_event_tou_aragon_intervenes_bad_primary	Aragon Rallies Against Us!	true
message_event_text_text_mk_event_tou_aragon_intervenes_bad_secondary	The Crown of Aragon, victorious against the Moors in the south, has now joined with the crusaders, opening a second front in the south. The situation has now become incredibly dire.	true
message_event_text_text_mk_event_tou_aragon_intervenes_primary	Aragon Comes to Our Aid!	true
message_event_text_text_mk_event_tou_aragon_intervenes_secondary	The Crown of Aragon has joined our side in the war against France and its crusaders. Blessed be this day!	true
message_event_text_text_mk_event_tou_aragon_support_primary	Support from Aragon	true
message_event_text_text_mk_event_tou_aragon_support_secondary	The Crown of Aragon has generously provided us with the men and equipment to raise a new army within our lands, consisting of mixed Aragonese and local troops. With this support, we can swiftly repel the invaders.	true
message_event_text_text_mk_event_pope_favour_decrease_primary_relations_decay	Unfriendly Papal Relations	true
message_event_text_text_mk_event_pope_favour_decrease_secondary_relations_decay	The adverse relations between your faction and the Papal States has lowered the Pope's opinion of you. As a result, your Papal Favour has decreased.	true
message_event_text_text_mk_event_pope_favour_increase_primary_relations_increase	Friendly Papal Relations	true
message_event_text_text_mk_event_pope_favour_increase_secondary_relations_increase	The amicable relations between your faction and the Papal States has improved the Pope's opinion of you. As a result, your Papal Favour has increased	true
message_event_text_text_mk_event_mk1212_hreintro_primary	The Holy Roman Empire	true
message_event_text_text_mk_event_mk1212_hreintro_secondary	Dominating the center of Europe, the Holy Roman Empire stretches from the North Sea to the Adriatic. Although one political entity, it consists of many small-sized factions with a great deal of autonomy. Upon the death of the Holy Roman Emperor, one faction from among these is elected to take their place. The emperor accrues Imperial Authority over time, which can be spent on Imperial Decrees and Imperial Reforms: the former being temporary bonuses that affect the empire at large, and the latter being permanent changes to the Holy Roman Empire. The emperor can also be challenged by pretenders from outside the empire, chosen by the Pope should the emperor be excommunicated.	true
message_event_text_text_mk_event_mk1212_hreintro_title	Medieval Kingdoms: Total War - 1212 AD	true
message_event_text_text_mk_event_mecca_attacked_secondary	The Islamic holy city of Mecca has fallen to infidels, its holy sites defiled by foreign invaders. Muslims around the world are outraged at this turn of events, and many realms may soon be thrown into disarray.	true
message_event_text_text_mk_event_mecca_attacked_title	The Fall of Mecca	true
message_event_text_text_mk_event_mecca_liberated_secondary	Mecca, the holiest city in all of Islam, has finally been liberated by those of the Islamic faith. Muslims around the world now rejoice, 	true
message_event_text_text_mk_event_mecca_liberated_title	The Reconquest of Mecca	true
message_event_text_text_mk_event_mecca_destroyed_title	The Destruction of Mecca	true
message_event_text_text_mk_event_mecca_destroyed_secondary	In a day that may go down as the worst in Islamic history, the holy city of Mecca has been completely destroyed, with all its holy sites ravaged and flattened by foreign invaders. Islam may not recover from this grave blow, but it will certainly leave those true believers with a want for vengeance.	true
message_event_text_text_mk_event_faction_rank_secondary_4	Your faction's rank has increased to Kingdom rank, denoting the status of your faction as a regional power.	true
message_event_text_text_mk_event_faction_rank_secondary_5	Your faction's rank has increased to Empire rank, denoting the status of your faction as a great power.	true
message_event_text_text_mk_event_faction_rank_title_4	Founding of a Kingdom	true
message_event_text_text_mk_event_faction_rank_title_5	Founding of an Empire	true
message_event_text_text_mk_event_hre_war_declared_on_member_state_title	War Declared on HRE Member State	true
message_event_text_text_mk_event_hre_war_declared_on_member_state_secondary	You have declared war on a member state of the Holy Roman Empire, and in doing so have greatly diminished your standing as emperor, thereby resulting in a great loss of imperial authority.	true
message_event_text_text_mk_event_hre_election_title	Imperial Election	true
message_event_text_text_mk_event_hre_election_description	The imperial election has ended, bringing the reign of one emperor to a close and ushering in a new leader for the Holy Roman Empire. The newly crowned Emperor takes the helm, ready to shape the next chapter of the Empire’s legacy.	true
